Date,Open,High,Low,Close,Volume,Pips,Percent
28 Dec 2007 16:00,3652.8,3690.7,3565.5,3569.5,1043,-833000.0,-2.2804
04 Jan 2008 16:00,3568.9,3635.9,3509.7,3514.7,1338,-542000.0,-1.5187
11 Jan 2008 16:00,3520.1,3551,3330.2,3345.2,2182,-1749000.0,-4.9686
18 Jan 2008 16:00,3295.7,3312.2,2953.7,3202.5,4677,-932000.0,-2.8279
25 Jan 2008 16:00,3162.9,3308.2,3133.4,3306.2,1684,1433000.0,4.5307
01 Feb 2008 16:00,3317.6,3317.6,3115.4,3151.5,1324,-1661000.0,-5.0066
08 Feb 2008 16:00,3127.9,3271,3105.9,3164.4,1304,365000.0,1.1669
15 Feb 2008 16:00,3179.7,3260.8,3167,3222.3,1105,426000.0,1.3397
22 Feb 2008 16:00,3227.6,3317.7,3136.3,3144.3,1188,-833000.0,-2.5809
29 Feb 2008 16:00,3128.6,3159.7,3025.2,3045.3,1265,-833000.0,-2.6625
07 Mar 2008 16:00,3050.6,3124.8,2965.2,2993.2,1513,-574000.0,-1.8816
14 Mar 2008 16:00,2940.5,3015.7,2868.5,2963.3,2043,228000.0,0.7754
21 Mar 2008 16:00,3020.7,3052.4,2978.1,3005.8,1018,-149000.0,-0.4933
28 Mar 2008 16:00,2975,3170.2,2946.9,3158.1,1199,1831000.0,6.1546
04 Apr 2008 16:00,3183.6,3197.6,3055.9,3060.9,691,-1227000.0,-3.8541
11 Apr 2008 16:00,3044.3,3177.9,3034.2,3164.8,825,1205000.0,3.9582
18 Apr 2008 16:00,3162.2,3207.4,3088.4,3193.3,801,311000.0,0.9835
25 Apr 2008 16:00,3196.7,3292,3176.1,3269.9,691,732000.0,2.2899
02 May 2008 16:00,3272.3,3281.8,3198.1,3213,607,-593000.0,-1.8122
09 May 2008 16:00,3232.5,3298.6,3199.1,3274.5,795,420000.0,1.2993
16 May 2008 16:00,3277.9,3319.9,3167.6,3168.5,854,-1094000.0,-3.3375
23 May 2008 16:00,3171,3214.2,3144.6,3182.9,734,119000.0,0.3753
30 May 2008 16:00,3185.3,3185.3,3024.1,3024.1,1113,-1612000.0,-5.0607
06 Jun 2008 16:00,3042.5,3068.5,2968,3015.5,1035,-270000.0,-0.8874
13 Jun 2008 16:00,3041.9,3057.7,2902.4,2935.3,1369,-1066000.0,-3.5044
20 Jun 2008 16:00,2935.7,2970.9,2849.6,2858.6,1454,-771000.0,-2.6263
27 Jun 2008 16:00,2876.9,2910.8,2802.6,2837.6,1427,-393000.0,-1.3661
04 Jul 2008 16:00,2861.9,2892.1,2750.9,2772.8,1244,-891000.0,-3.1133
11 Jul 2008 16:00,2790.1,2837.5,2659.8,2828.5,1861,384000.0,1.3763
18 Jul 2008 16:00,2830.9,2906.1,2787.2,2834.5,1221,36000.0,0.1272
25 Jul 2008 16:00,2846.8,2902.1,2788.1,2844.4,1500,-24000.0,-0.0843
01 Aug 2008 16:00,2842.8,2947,2814.9,2910.1,908,673000.0,2.3674
08 Aug 2008 16:00,2932.5,2969.6,2875.1,2903.2,1056,-293000.0,-0.9991
15 Aug 2008 16:00,2893.6,2930.5,2812.1,2865.2,975,-284000.0,-0.9815
22 Aug 2008 16:00,2861.6,2932.1,2819.8,2910.1,741,485000.0,1.6949
29 Aug 2008 16:00,2894.5,2940.6,2743.2,2798.2,1016,-963000.0,-3.327
05 Sep 2008 16:00,2856.5,2885.6,2775,2854.1,1474,-24000.0,-0.084
12 Sep 2008 16:00,2773.4,2783.4,2551.9,2743.5,2933,-299000.0,-1.0781
19 Sep 2008 16:00,2729.6,2744.2,2601.4,2658.6,1658,-710000.0,-2.6011
26 Sep 2008 16:00,2625.1,2680.9,2401.4,2585.7,1773,-394000.0,-1.5009
03 Oct 2008 16:00,2534.6,2564.8,1989.7,2110,5043,-4246000.0,-16.7522
10 Oct 2008 16:00,2200.7,2427.2,2029.3,2241.5,4825,408000.0,1.854
17 Oct 2008 16:00,2227.9,2355.9,1932.6,2089.6,2657,-1383000.0,-6.2076
24 Oct 2008 16:00,1970.9,2318.9,1940.6,2313.1,4015,3422000.0,17.3626
31 Oct 2008 16:00,2317.2,2403.1,2151.9,2255,1893,-622000.0,-2.6843
07 Nov 2008 16:00,2319.2,2323.3,2030,2111.8,1793,-2074000.0,-8.9427
14 Nov 2008 16:00,2120.7,2136.5,1851,1925.3,2475,-1954000.0,-9.2139
