Date,Open,High,Low,Close,Volume,Pips,Percent
01 Jan 2008 16:00,111.605,112.085,109.197,109.645,27820,-19600.0,-1.7562
02 Jan 2008 16:00,109.65,109.748,108.235,109.317,35284,-3330.0,-0.3037
03 Jan 2008 16:00,109.317,109.582,107.896,108.559,37154,-7580.0,-0.6934
05 Jan 2008 16:00,108.597,108.667,108.352,108.462,884,-1350.0,-0.1243
06 Jan 2008 16:00,108.462,109.729,108.462,109.17,34891,7080.0,0.6528
07 Jan 2008 16:00,109.165,109.826,108.855,108.885,30222,-2800.0,-0.2565
08 Jan 2008 16:00,108.887,110.123,108.787,110.03,40933,11430.0,1.0497
09 Jan 2008 16:00,110.023,110.093,109.107,109.331,42076,-6920.0,-0.629
10 Jan 2008 16:00,109.332,109.7,108.629,108.803,39871,-5290.0,-0.4838
12 Jan 2008 16:00,108.82,108.85,108.565,108.58,785,-2400.0,-0.2205
13 Jan 2008 16:00,108.58,108.915,107.372,108.152,28514,-4280.0,-0.3942
14 Jan 2008 16:00,108.152,108.345,106.61,106.771,36442,-13810.0,-1.2769
15 Jan 2008 16:00,106.77,107.927,105.911,107.633,47455,8630.0,0.8083
16 Jan 2008 16:00,107.624,107.871,106.531,106.541,43961,-10830.0,-1.0063
17 Jan 2008 16:00,106.566,107.587,106.35,106.821,33046,2550.0,0.2393
19 Jan 2008 16:00,106.783,106.805,106.56,106.665,798,-1180.0,-0.1105
20 Jan 2008 16:00,106.656,106.93,105.67,105.968,32054,-6880.0,-0.6451
21 Jan 2008 16:00,105.988,107.04,105.608,106.42,43589,4320.0,0.4076
22 Jan 2008 16:00,106.422,107.374,104.958,106.702,54116,2800.0,0.2631
23 Jan 2008 16:00,106.697,107.177,105.933,107.165,49459,4680.0,0.4386
24 Jan 2008 16:00,107.156,107.884,106.667,106.667,41894,-4890.0,-0.4563
26 Jan 2008 16:00,106.757,106.757,106.612,106.722,1694,-350.0,-0.0328
27 Jan 2008 16:00,106.717,107.031,105.987,106.883,43198,1660.0,0.1556
28 Jan 2008 16:00,106.883,107.234,106.381,107.102,26259,2190.0,0.2049
29 Jan 2008 16:00,107.102,107.459,106.202,106.248,37489,-8540.0,-0.7974
30 Jan 2008 16:00,106.213,106.866,105.712,106.415,53516,2020.0,0.1902
31 Jan 2008 16:00,106.41,106.72,105.751,106.435,42348,250.0,0.0235
01 Feb 2008 16:00,106.485,106.505,106.485,106.505,2,200.0,0.0188
02 Feb 2008 16:00,106.4,106.502,106.4,106.485,893,850.0,0.0799
03 Feb 2008 16:00,106.485,107.082,106.46,106.705,32377,2200.0,0.2066
04 Feb 2008 16:00,106.699,107.734,106.58,106.808,40591,1090.0,0.1022
