Date,Open,High,Low,Close,Volume,Pips,Percent
13 Mar 2008 16:00,1.56353,1.56872,1.55321,1.56687,48968,33.4,0.2136
15 Mar 2008 16:00,1.56652,1.5679,1.56515,1.56766,814,11.4,0.0728
16 Mar 2008 16:00,1.56765,1.59035,1.5675,1.57283,56419,51.8,0.3304
17 Mar 2008 16:00,1.57283,1.58318,1.56167,1.56234,47517,-104.9,-0.667
18 Mar 2008 16:00,1.56241,1.57847,1.55818,1.56254,45978,1.3,0.0083
19 Mar 2008 16:00,1.56254,1.56505,1.53963,1.54275,41048,-197.9,-1.2665
20 Mar 2008 16:00,1.54274,1.54725,1.54042,1.54289,9381,1.5,0.0097
22 Mar 2008 16:00,1.54345,1.54365,1.5431,1.54365,214,2.0,0.013
23 Mar 2008 16:00,1.54365,1.54545,1.53405,1.54218,23762,-14.7,-0.0952
24 Mar 2008 16:00,1.54224,1.56586,1.54072,1.56498,35238,227.4,1.4745
25 Mar 2008 16:00,1.56493,1.58589,1.55838,1.58451,42149,195.8,1.2512
26 Mar 2008 16:00,1.58456,1.58469,1.5726,1.57774,40727,-68.2,-0.4304
27 Mar 2008 16:00,1.57774,1.58388,1.5741,1.57896,42703,12.2,0.0773
29 Mar 2008 16:00,1.5788,1.57975,1.5788,1.5797,349,9.0,0.057
30 Mar 2008 16:00,1.5797,1.58965,1.57596,1.57879,37754,-9.1,-0.0576
31 Mar 2008 16:00,1.57874,1.57883,1.55628,1.56138,44709,-173.6,-1.0996
01 Apr 2008 16:00,1.56139,1.57017,1.55333,1.56854,45823,71.5,0.4579
02 Apr 2008 16:00,1.56853,1.5697,1.55103,1.56845,43483,-0.8,-0.0051
03 Apr 2008 16:00,1.56835,1.57738,1.56375,1.57325,34565,49.0,0.3124
05 Apr 2008 16:00,1.57307,1.57327,1.57177,1.57262,300,-4.5,-0.0286
06 Apr 2008 16:00,1.57262,1.57322,1.56266,1.57099,29379,-16.3,-0.1036
07 Apr 2008 16:00,1.57104,1.5798,1.5674,1.57111,39046,0.7,0.0045
08 Apr 2008 16:00,1.57121,1.58649,1.56829,1.58312,31356,119.1,0.758
09 Apr 2008 16:00,1.58312,1.59127,1.57248,1.57423,37214,-88.9,-0.5615
10 Apr 2008 16:00,1.57423,1.58549,1.57386,1.58023,35015,60.0,0.3811
12 Apr 2008 16:00,1.58005,1.59175,1.56395,1.56935,1176,-107.0,-0.6772
13 Apr 2008 16:00,1.56935,1.58858,1.56701,1.58317,36534,138.2,0.8806
14 Apr 2008 16:00,1.58318,1.58751,1.57515,1.57889,35517,-42.9,-0.271
15 Apr 2008 16:00,1.57881,1.59786,1.57586,1.59469,39252,158.8,1.0058
16 Apr 2008 16:00,1.59469,1.5984,1.58461,1.59078,39881,-39.1,-0.2452
17 Apr 2008 16:00,1.59078,1.59558,1.57103,1.58122,35708,-95.6,-0.601
19 Apr 2008 16:00,1.58124,1.58124,1.57975,1.5801,310,-11.4,-0.0721
20 Apr 2008 16:00,1.5801,1.5947,1.57889,1.59117,30931,110.7,0.7006
21 Apr 2008 16:00,1.59119,1.6019,1.58342,1.59909,37756,79.0,0.4965
22 Apr 2008 16:00,1.59924,1.60032,1.586,1.58891,33606,-103.3,-0.6459
23 Apr 2008 16:00,1.58896,1.5897,1.56381,1.56816,41458,-208.0,-1.309
24 Apr 2008 16:00,1.56806,1.57068,1.55552,1.56252,38776,-55.4,-0.3533
25 Apr 2008 16:00,1.5622,1.5622,1.5622,1.5622,1,0.0,0.0
26 Apr 2008 16:00,1.562,1.5625,1.56035,1.5608,271,-12.0,-0.0768
27 Apr 2008 16:00,1.5608,1.56928,1.5592,1.56575,31311,49.5,0.3171
28 Apr 2008 16:00,1.56574,1.56635,1.554,1.55717,34964,-85.7,-0.5473
29 Apr 2008 16:00,1.55718,1.56439,1.55115,1.56221,37974,50.3,0.323
30 Apr 2008 16:00,1.56211,1.56427,1.54304,1.54749,31838,-146.2,-0.9359
01 May 2008 16:00,1.54757,1.54979,1.53599,1.5419,35149,-56.7,-0.3664
03 May 2008 16:00,1.54125,1.54335,1.54095,1.54315,348,19.0,0.1233
04 May 2008 16:00,1.54315,1.55186,1.5418,1.5496,22346,64.5,0.418
05 May 2008 16:00,1.54965,1.55938,1.54523,1.55318,29948,35.3,0.2278
06 May 2008 16:00,1.55319,1.55388,1.53664,1.53912,33107,-140.7,-0.9059
07 May 2008 16:00,1.53912,1.54418,1.52847,1.53928,37650,1.6,0.0104
08 May 2008 16:00,1.53929,1.54889,1.53916,1.54779,30532,85.0,0.5522
10 May 2008 16:00,1.54809,1.54809,1.5444,1.54505,544,-30.4,-0.1964
11 May 2008 16:00,1.54505,1.55695,1.53648,1.55526,33128,102.1,0.6608
12 May 2008 16:00,1.55527,1.55659,1.54306,1.54735,35897,-79.2,-0.5092
13 May 2008 16:00,1.54737,1.54869,1.53961,1.54734,33304,-0.3,-0.0019
14 May 2008 16:00,1.54734,1.55459,1.54199,1.54471,36127,-26.3,-0.17
15 May 2008 16:00,1.54471,1.56005,1.54357,1.55717,33731,124.6,0.8066
17 May 2008 16:00,1.5578,1.5592,1.55765,1.55885,250,10.5,0.0674
18 May 2008 16:00,1.55885,1.56332,1.54856,1.55095,36605,-79.0,-0.5068
19 May 2008 16:00,1.5509,1.56812,1.55025,1.56453,38037,136.3,0.8788
20 May 2008 16:00,1.56453,1.57955,1.56313,1.5794,33009,148.7,0.9504
21 May 2008 16:00,1.5794,1.58132,1.5693,1.57336,33851,-60.4,-0.3824
22 May 2008 16:00,1.57336,1.57936,1.56964,1.57571,27034,23.5,0.1494
24 May 2008 16:00,1.57564,1.57706,1.57562,1.57627,137,6.3,0.04
